Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Deliverable Volume,%Deliverble,Moving_Avg:10,Moving_Avg:20,Moving_Avg:50,Moving_Avg:200,EMA:10,EMA:20,EMA:50,EMA:200
10/05/2010,MUNDRAPORT,EQ,652.3,655.05,699.7,655.05,696,692.55,683.8,406924,2.78256E+13,180820,0.4444,,,,,,,,
11/05/2010,MUNDRAPORT,EQ,692.55,693.1,716.9,688.1,698.25,702.3,706.51,411578,2.90783E+13,206093,0.5007,,,,,,,,
12/05/2010,MUNDRAPORT,EQ,702.3,705,728,693.3,719.75,723.35,711.77,421541,3.0004E+13,176088,0.4177,,,,,,,,
13/05/2010,MUNDRAPORT,EQ,723.35,726.9,759.9,726.5,742,744.2,747.42,821046,6.13662E+13,263441,0.3209,,,,,,,,
14/05/2010,MUNDRAPORT,EQ,744.2,740.1,751.65,707.3,715.55,712.05,726.28,604083,4.38731E+13,399860,0.6619,,,,,,,,
17/05/2010,MUNDRAPORT,EQ,712.05,714,727.8,697.05,699.8,701.45,711.32,609404,4.33479E+13,183980,0.3019,,,,,,,,
18/05/2010,MUNDRAPORT,EQ,701.45,690,710,676.4,683,683,685.61,575441,3.94528E+13,320020,0.5561,,,,,,,,
19/05/2010,MUNDRAPORT,EQ,683,674,675.9,650,650.7,654.2,661.38,296996,1.96426E+13,161677,0.5444,,,,,,,,
20/05/2010,MUNDRAPORT,EQ,654.2,660,669.9,645,650,649.25,653.41,159755,1.04385E+13,57327,0.3588,,,,,,,,
21/05/2010,MUNDRAPORT,EQ,649.25,639.9,675.35,625.2,675,671.05,657.99,385689,2.53779E+13,135313,0.3508,693.3399963,,,,693.3399658,,,
24/05/2010,MUNDRAPORT,EQ,671.05,677,690.4,670,670,677,683.47,169682,1.15972E+13,77290,0.4555,691.7849976,,,,690.3690629,,,
25/05/2010,MUNDRAPORT,EQ,677,677,677,634.55,644,643.25,657.26,361246,2.37434E+13,219212,0.6068,685.8799988,,,,681.8019606,,,
26/05/2010,MUNDRAPORT,EQ,643.25,650,677,649.1,676,673.25,665.32,215555,1.43412E+13,106629,0.4947,680.8700012,,,,680.2470587,,,
27/05/2010,MUNDRAPORT,EQ,673.25,676,679.95,664.3,668,669.8,672.48,305830,2.05665E+13,147670,0.4828,673.4299988,,,,678.3475912,,,
28/05/2010,MUNDRAPORT,EQ,669.8,677.95,685,670,672,672.1,677.29,85679,5.80293E+12,25528,0.2979,669.4349976,,,,677.2116611,,,
31/05/2010,MUNDRAPORT,EQ,672.1,672,698.85,665.5,695.75,696.45,691.89,331410,2.29299E+13,139183,0.42,668.9349976,,,,680.7095431,,,
01/06/2010,MUNDRAPORT,EQ,696.45,697,697,668.1,678.05,676.75,682.71,224773,1.53455E+13,115750,0.515,668.3099976,,,,679.9896262,,,
02/06/2010,MUNDRAPORT,EQ,676.75,684.6,685,658.65,666.1,665.45,669.52,155706,1.04249E+13,69133,0.444,669.4349976,,,,677.34606,,,
03/06/2010,MUNDRAPORT,EQ,665.45,679,690,671,688,686.2,682.66,211803,1.44589E+13,117259,0.5536,673.1299988,,,,678.9558695,,,
04/06/2010,MUNDRAPORT,EQ,686.2,688,699.7,681.15,685.2,689.7,693.98,153382,1.06445E+13,37094,0.2418,674.9950012,684.1674988,,,680.90935,684.1675415,,
07/06/2010,MUNDRAPORT,EQ,689.7,675,675,650,661.8,661.45,665.13,189506,1.26046E+13,117524,0.6202,673.4400024,682.6125,,,677.3712886,682.0039673,,
08/06/2010,MUNDRAPORT,EQ,661.45,665,674,658.25,662.5,663.05,666.65,95926,6.39488E+12,46773,0.4876,675.4200012,680.65,,,674.7674157,680.1988264,,
09/06/2010,MUNDRAPORT,EQ,663.05,663.05,673.5,652,666.5,667,667.42,87325,5.82825E+12,38338,0.439,674.7950012,677.8325012,,,673.3551583,678.9417953,,
10/06/2010,MUNDRAPORT,EQ,667,663.45,683.95,663.45,682,682.1,677.75,154184,1.04498E+13,69125,0.4483,676.025,674.7274994,,,674.9451251,679.2425744,,
11/06/2010,MUNDRAPORT,EQ,682.1,685.15,691.8,678.5,683,683.45,684.76,79265,5.42772E+12,35695,0.4503,677.1600037,673.2975006,,,676.4914682,679.6432827,,
14/06/2010,MUNDRAPORT,EQ,683.45,685,697,679.25,690,690.8,691.14,104081,7.19347E+12,43472,0.4177,676.5950012,672.7649994,,,679.0930172,680.7058261,,
15/06/2010,MUNDRAPORT,EQ,690.8,695,705.8,679.1,701,702.8,698.54,159837,1.11652E+13,62563,0.3914,679.2,673.7549988,,,683.4033755,682.810032,,
16/06/2010,MUNDRAPORT,EQ,702.8,705,719.8,702.8,705.35,708.35,711.53,188935,1.34433E+13,68131,0.3606,683.4899963,676.4624969,,,687.939121,685.2424075,,
17/06/2010,MUNDRAPORT,EQ,708.35,708,716,708,714.5,714.4,713.47,126002,8.98992E+12,66751,0.5298,686.3099976,679.7199982,,,692.7501943,688.0193234,,
18/06/2010,MUNDRAPORT,EQ,714.4,715,721.85,712.25,714.95,714.35,717.33,106743,7.657E+12,57470,0.5384,688.7749939,681.8849976,,,696.6774273,690.5270046,,
21/06/2010,MUNDRAPORT,EQ,714.35,716.5,721.9,715.55,719,717.95,718.33,122797,8.82089E+12,76389,0.6221,694.4249939,683.9324982,,,700.54517,693.1387196,,
